"All that a belief is, is a thought that you keep practicing." -- Abraham
"You cannot get to where you want to be by pushing against what you do not want - it never, ever works." -- Abraham
"You cannot judge the value of a life by its quantity. It is by the joy that you are feeling." -- Abraham
"You cannot worry about someone and love them at the same time. Most people mistake the emotion of worry for the emotion of love. They think that worrying about somebody means that you love them." -- Abraham
"How would I treat myself right now if I was someone I deeply care about?",Adyashanti
"Awareness is always there, but it doesn't do you much good until you bring consciousness to it, even for brief moments. Don't be too concerned with how long you can sustain it. It's more important how often you check in. If you keep checking in, the sustaining of it happens on its own." -- Adyashanti
"Each human is a point of orientation through which the Universe experiences itself." -- Adyashanti
"Everybody has their difficulty. Nobody gets out unscathed." -- Adyashanti
"In this moment there is always freedom and there is always peace. This moment in which you experience stillness is every moment. Don't let the mind seduce you into the past or the future. Stay in the moment, and dare to consider that you can be free now." -- Adyashanti
"In this very moment, the awareness that is reading these words, the awareness that looks out, the awareness that sees, the awareness that is hearing the sounds around you-recognizing that awareness, before you even try to be aware, is the doorway to the fundamental reality. That awareness is the awareness of the infinite; that awareness is itself the infinite being aware." -- Adyashanti
"Make no mistake about it - enlightenment is a destructive process. It has nothing to do with becoming better or being happier. Enlightenment is the crumbling away of untruth. It's seeing through the facade of pretense. It's the complete eradication of everything we imagine to be true." -- Adyashanti
"Nobody is making you feel what you're feeling. Nobody has the power to make you feel something negative emotionally. Your reactions are caused by how you interpret any situation. This is so important because it means that you ultimately become your own resource of emotional freedom and truth." -- Adyashanti
"Not knowing is the way to deeper liberating knowledge." -- Adyashanti
"One of the primary ways we suffer is when we are addicted to not wanting the world to be the way it is. Begin to reexamine what your own emotional hang-ups are, the parts of your experience where you're addicted to a demand for life to be other than it is. The depth of your awakened vision will put more and more pressure on whatever addictive demands you're still holding onto, and whatever emotional turmoil you still have within you." -- Adyashanti
"Suffering is how Life tells you that you are resisting or misperceiving what is real and true. It is the way Life suggests that you are not in harmony with what Is." -- Adyashanti
"There is no such thing as an absolutely True thought. This doesn't mean that some thoughts are not truer than others, only that no thought is absolutely True." -- Adyashanti
"There's only one thing that's better than getting what you want: it's to know that you can be happy whether you get it or not." -- Adyashanti
"This isn't about thought or no thought. It's about 'Where is your attention?' That's the game changer." -- Adyashanti
"Whatever you accept, you go beyond." -- Adyashanti
"When in doubt, simply be still. Stop, breathe, inwardly listen. Repeat this many times every day. Being still and quiet is the ultimate spiritual practice. Keep it this simple and you will see the results for yourself. But you must actually do it, not just think about it. Stop, breath, and inwardly listen to the listening. Repeat this many times every day." -- Adyashanti
"You can't create inner stillness; you just notice it." -- Adyashanti
"In the same way that you need to stop talking to hear what others are saying, you need to stop thinking in order to find what life is all about." -- Alan Watts
"The Three Principles is not a self-improvement course, trying to improve what is. Rather, it is understanding the nature of what is." -- Dicken Bettinger
"A glimpse is enough to initiate the awakening process, which is irreversible." -- Eckhart Tolle
"A great deal of what people say, think, or do is actually motivated by fear, which of course is always linked with having your focus on the future and being out of touch with the Now. As there are no problems in the Now, there is no fear either." -- Eckhart Tolle
"A new state of consciousness is emerging. We have suffered enough!" -- Eckhart Tolle
"Accept - then act. Whatever the present moment contains, accept it as if you had chosen it. Always work with it, not against it." -- Eckhart Tolle
"Accept,then act. Whatever the present moment contains, accept it as if you had chosen it. Always work with it, not against it. This will miraculously change your whole life." -- Eckhart Tolle
"Acceptance looks like a passive state, but in reality it brings something entirely new into this world. That peace, a subtle energy vibration, is consciousness." -- Eckhart Tolle
"Acceptance means: For now, this is what this situation, this moment, requires me to do, and so I do it willingly." -- Eckhart Tolle
"Acceptance of the unacceptable is the greatest source of grace in this world." -- Eckhart Tolle
"All that arises passes away." -- Eckhart Tolle
"As far as inner transformation is concerned, there is nothing you can do about it. You cannot transform yourself, and you certainly cannot transform your partner or anybody else. All you can do is create a space for transformation to happen, for grace and love to enter." -- Eckhart Tolle
"Be aware of your breathing as often as you are able, whenever you remember. Do that for one year, and it will be powerfully transformative. And it's free." -- Eckhart Tolle
"Be aware of your breathing. Notice how this takes attention away from your thinking and creates space." -- Eckhart Tolle
"Becoming aware of awareness is the arising of inner stillness." -- Eckhart Tolle
"Boredom, anger, sadness, or fear are not 'yours,' not personal. They are conditions of the human mind. They come and go. Nothing that comes and goes is you." -- Eckhart Tolle
"Challenges are here to awaken you and even if you're awakening, life continuously gives you challenges and then the awakening accelerates and deepens." -- Eckhart Tolle
"Do what you have to do. In the meantime, accept what is." -- Eckhart Tolle
"Each individual is an expression of the collective consciousness of humanity and the collective consciousness of humanity is an expression of the One universal consciousness." -- Eckhart Tolle
"Each person's life,each life-form, in fact,represents a world, a unique way in which the universe experiences itself." -- Eckhart Tolle
"Ego implies unawareness. Awareness and ego cannot coexist." -- Eckhart Tolle
"Every addiction arises from an unconscious refusal to face & move through your own pain. "Every addiction starts with pain & ends with pain." -- Eckhart Tolle
"Every fragment of self-talk is a little story in the head that goes around, and then you look at reality through the lens of the little story." -- Eckhart Tolle
"Failure lies concealed in every success, and success in every failure." -- Eckhart Tolle
"Faith is trust. Faith is a deep sense of connectedness with Being." -- Eckhart Tolle
"Feeling the one of yourself with all things is true love." -- Eckhart Tolle
